_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
05MYHH,,,,,275.8,7.60286516,5.1501420456138876,-0.5999327290555811,,3.5268695539999992,12.911185801854142,
05EEZH,,,,,233.032,7.6700773180000015,1.9298054435616043,-1.6277834989741677,,4.493146368000001,5.362180237552632,
05MEGG,,,,,228.896,7.811304483999999,2.5629455320002412,-0.9137206071936816,,5.064313654000002,2.160913908511859,
05STTW,,,,,246.856,7.505720461999999,1.1788000721072256,-1.5763212992933404,,4.8550579879999995,4.824972212355218,
05DXWO,,,,,224.416,7.597150766000001,0.48232290014055934,0.2915995393123012,,4.93478739,2.6678877881200322,
05RYQW,,,,,240.776,8.047499436,0.7724695527980374,0.9915420546712994,,4.73070189,1.8679938677629537,
90ZXAR,,,,,172.912,7.436603506,0.000824621125123532,-1.8437416049055173,,7.23142955,0.0003162277660168379,
90GUQY,,,,,128.464,7.086120674,0.000608276253029822,-1.89433314863345,,4.5543720180000005,0.0002,
90XTPG,,,,,131.592,8.995816726,1.2639187038729982,-1.8705358813549537,,6.634411434000002,2.519966979942396,
90WICA,,,,,222.936,7.687764728,0.0001,-1.6195579553459538,,5.603915715999998,0.00037416573867739413,
90ZDKW,,,,,134.216,9.489431522,0.24048072687847563,-1.8981234245402447,,8.063282048000003,2.4211736843935836,
90MHJZ,,,,,117.648,9.944678243999999,0.6927090226061733,-1.9688270772730903,,6.368556056000001,1.8771504308392548,
90UZAH,,,,,117.288,9.991753966,0.19520074282645547,-1.9767750918290403,,6.641486398000001,0.24531551112801653,
90UCRC,,,,,106.984,9.512561211999998,1.126200004439709,-1.9721074115441297,,5.870587436000001,2.6756000597996707,
90PUBZ,,,,,101.328,9.657870088000001,0.2653596239068785,-2.0583111947335055,,6.607472147999999,3.6275975438298005,
90WTZI,,,,,145.096,8.498664448,1.8216519645640328,-1.8242809640269115,,5.524458427999999,3.5155667380950115,
