_id,smiles
05SLTD,COC(=O)C(C)SC1=C(SC(C)C(=O)OC)C(=O)c2ccccc2C1=O
05EGPP,CC1=C(SC(C)C(=O)O)C(=O)c2ccccc2C1=O
05SFQB,O=C1C=C2NCCN=C2c2ccccc21
05XKCN,CCCCNC1=CC(=O)c2c(O)ccc(NCCCC)c2C1=O
05QHWS,COc1ccc2c(c1)C=CC1(C)C2CCC2(C)C(OC(=O)CBr)CCC12
05PIIN,CSN=C1C(C)=CC(=Nc2c(C)cccc2C)C=C1C
05LYTS,N#CC=C1C=C(c2ccc(Br)cc2)N2CCNC2=C1[N+](=O)[O-]
05QBKS,COc1ccc2c(c1)C(O)=C(C(=O)C(F)(F)F)C2
05QHOD,CC1(C)CC2=C(O1)c1ccccc1C(=O)C2=O
05RDDK,COC1=CC(=CNc2ccccc2O)C(=O)C=C1
05YHWA,CC(=[NH+]C1=C([O-])c2ccccc2C1=O)N(C)C
05ZSXL,CNC(C)=[NH+]C1=C([O-])c2ccccc2C1=O
05DCTR,CC(C)C1=C(C=C(C#N)C#N)C(C)(C)c2ccccc21
05BQXN,CC(C)C1=C(O)C(=O)C2=C(C1=O)C1(Oc3c(c4c(c(O)c3C(C)C)C(=O)C(O)=C3C(C)(C)CCCC34C)O1)C(=O)C1C(C)(C)CCCC21C
05QASW,COc1ccc(C2C3=C(CC(C)(C)CC3=O)NC3=C2C(=O)CC(C)(C)C3)cc1
05IASV,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1ccccn1
05WLWH,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccn1
05SSDK,CC1(C)CC(=O)C2=C(C1)OC(N)=C([N+](=O)[O-])C2c1ccc(F)cc1
05QMLQ,COc1ccc2c(c1O)C13CCN(C)C1C(=O)C=C3C=C2
05QMWG,CCOC(=O)C1=CC(c2ccccc2Br)C(C(=O)OCC)=C(C)O1
05FVGJ,CC1=C(F)C(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F
05QTIM,CC1=C(F)C(C)=[N+]2C1=C(C)c1c(C)cc(C)n1[B-]2(F)F
05GHOX,CC1=C(C(F)(F)F)C(C)=[N+]2C1=C(C)c1c(C)cc(C)n1[B-]2(F)F
05SETR,CC1=C(C(F)(F)F)C(C)=[N+]2C1=Cc1c(C)c(C(F)(F)F)c(C)n1[B-]2(F)F
05CZGB,CC1=C(C(F)(F)F)C(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F
05JZPS,CC(=O)OCC(COC(=O)CCCC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21)(COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
05DAQD,Cc1cc(C)n2c1C=C1C=CC(F)=[N+]1[B-]2(F)F
05HFAP,NC1=C(Br)C(=O)C(=O)c2ccccc21
05LCQH,CCOC(=O)C1=C(CO)NC(C)=C(C#N)C1c1ccccc1Cl
05XOGA,CC1=C(C(=O)OCCBr)C(c2cccc([N+](=O)[O-])c2)C([N+](=O)[O-])=C(C)N1
05URNL,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccco1
05GOGG,CC1=C(C#N)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCCBr)=C(C)N1
05BJZH,CCC1=C(C)C(C=C2NC(=O)C(C)=C2CC)=NC1=Cc1[nH]c2c(c1C)C(=O)CC2=C1N=C(C(C)=O)C(C)C1CCC(=O)OC
05GTGD,CCOC(=O)N1N2C(C)=Nc3cc4c(cc3C2(C)CC1(C)CC(C)=O)OCO4
05YTLJ,COC(=O)C1=C(N)OC2=C(C(C)CCC2(C)C(C)C)C1c1ccc(Br)cc1
05FZBP,C=CCOC(=O)N1C=CC(C2C(=O)N(C)c3ccccc32)C(C#N)=C1
05SMHU,COc1ccc2nc3cc(N)c(=O)cc-3oc2c1
05LQNP,NC(=O)C1=CN(Cc2ccccc2)C=CC1
05QOCB,CC1=Nc2ccccc2C2(O1)OC1(CCCCC1)C1(CCCCC1)OC2=O
05LZLQ,O=[N+]([O-])c1cccc2c1C=CC2=CN1CCCC1
05TWXZ,CCCCC1C(C)=NC(C#N)=C(C#N)N=C1C=Cc1ccc(N(CC)CC)cc1
05EAKY,CCC1C(C)=NC(C#N)=C(C#N)N=C1C=Cc1ccc(N(CC)CC)cc1
05TQZU,CCN(CC)c1ccc(C=CC2=NC(C#N)=C(C#N)N=C(C)C2)cc1
05MEUZ,C1=CC2C=CC3=Cc4ccccc4C=C1C32
05ATDQ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
05WAVI,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc([N+](=O)[O-])cc1
05IBFP,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
05FSNA,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(C)c1
05GGVQ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccn1
05USNF,CC(C)C1C=CC(C)(COC(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C=C1
05UZMT,CCC1=C(C)C(Br)=[NH+]C1=Cc1[nH]c(Br)c(C)c1CC
05YBHN,CC(C)C1=C(c2ccccc2)N=C(N(C)C)C(C)(C)C1=O
05BASY,ClC(Cl)CC1=C2C=CCCC23C(CC(Cl)(Cl)CC3(Cl)Cl)c2ccccc21
05JKGT,CNC(=O)C1=CCC2=CC=CC=CC1(c1ccccc1)C2
05PZCJ,CC(C)c1ccc2c(c1)C(=O)C1=C3C(C)(CCCC32C)C(=O)O1
05WBLT,CC12CCCC3(C)C1=C(OC2=O)C(=O)c1cc(C(C)(C)O)ccc13
05SEVK,COc1cc(C2=CC(=O)C(F)=CC2=O)c(OC)cc1F
05HYXI,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1[N+](=O)[O-]
05RYKE,COc1ccc2c(c1)CCC1=C2CCC2(C)C(OC(C)=O)CSCC12
05IVTB,CC(=O)C1=C(C)N=C(N(C)S(=O)(=O)c2ccc(C)cc2)C=C(C)C1
05GTWS,CC1=CC(N(C)S(=O)(=O)c2ccc(C)cc2)=NC=C(C=O)C1
05TPZB,c1cc2cc3cc(cc-2c1)CCc1ccc(cc1)CC3
05AVPN,O=C(O)C1C=CCc2ccccc21
